Name: CCTV3综艺[高清], URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 190.30636363636364fps
Name: CCTV3综艺[高清], URL: http://183.130.2.188:8889/rtp/233.50.201.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 133.618fps
Name: CCTV3综艺[高清], URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.16:5140$720x576, Date: None, Resolution: 720x576, Response Time: 242.46818181818185fps
Name: CCTV3综艺[高清], URL: http://220.187.173.145:4022/rtp/233.50.201.16:5140$720x576, Date: None, Resolution: 720x576, Response Time: 242.2236363636364fps
Name: CCTV3综艺[高清], URL: http://183.130.2.188:8889/rtp/233.50.201.16:5140$720x576, Date: None, Resolution: 720x576, Response Time: 175.5533333333333fps
Name: CCTV4中文国际, URL: http://220.187.173.145:4022/rtp/233.50.201.4:5140$720x576, Date: None, Resolution: 720x576, Response Time: 241.77181818181816fps
Name: CCTV4中文国际, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.4:5140$720x576, Date: None, Resolution: 720x576, Response Time: 241.74454545454543fps
Name: CCTV4中文国际, URL: http://183.130.2.188:8889/rtp/233.50.201.4:5140$720x576, Date: None, Resolution: 720x576, Response Time: 181.06166666666667fps
Name: CCTV5体育, URL: http://220.187.173.145:4022/rtp/233.50.200.245:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 206.24428571428572fps
Name: CCTV5体育, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.197:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 204.76142857142858fps
Name: CCTV5体育, URL: http://220.187.173.145:4022/rtp/233.50.201.197:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 200.10307692307694fps
Name: CCTV5体育, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.245:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 196.67363636363635fps
Name: CCTV5体育, URL: http://183.130.2.188:8889/rtp/233.50.201.197:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 82.16666666666667fps
Name: CCTV5体育, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.17:5140$720x576, Date: None, Resolution: 720x576, Response Time: 234.88923076923078fps
Name: CCTV6电影, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.198:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 222.3876923076923fps
Name: CCTV6电影, URL: http://220.187.173.145:4022/rtp/233.50.201.198:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 222.0776923076923fps
Name: CCTV6电影, URL: http://220.187.173.145:4022/rtp/233.50.201.18:5140$720x576, Date: None, Resolution: 720x576, Response Time: 246.09fps
Name: CCTV6电影, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.18:5140$720x576, Date: None, Resolution: 720x576, Response Time: 244.84454545454545fps
Name: CCTV6电影, URL: http://183.130.2.188:8889/rtp/233.50.201.18:5140$720x576, Date: None, Resolution: 720x576, Response Time: 160.9575fps
Name: CCTV7国防军事, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.24:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 231.39538461538464fps
Name: CCTV7国防军事, URL: http://220.187.173.145:4022/rtp/233.50.200.24:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 194.08636363636364fps
Name: CCTV7国防军事, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.120:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 106.66fps
Name: CCTV7国防军事, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.7:5140$720x576, Date: None, Resolution: 720x576, Response Time: 238.29666666666665fps
Name: CCTV7国防军事, URL: http://220.187.173.145:4022/rtp/233.50.201.7:5140$720x576, Date: None, Resolution: 720x576, Response Time: 236.8475fps
Name: CCTV7国防军事, URL: http://ycsj.aguihome.com:4022/rtp/233.50.200.48:5140$720x576, Date: None, Resolution: 720x576, Response Time: 235.1875fps
